##FastQC	0.11.5
>>Basic Statistics	pass
#Measure	Value
Filename	29_4E_fox_S21_L008_R2_001.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	4827433
Sequences flagged as poor quality	0
Sequence length	101
%GC	50
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1111	96-97	0.22590714307401072
1111	98-99	0.2580652401446457
1111	100-101	0.23105153625340336
1112	1	0.19030915285960148
1112	2	-0.07848038969035187
1112	3	-0.09408619801064333
1112	4	-0.032168116800740165
1112	5	0.17270743759632268
1112	6	0.28410336971312944
1112	7	0.2213747433690756
1112	8	0.365100444108414
1112	9	0.3669770349877908
1112	10-11	0.280075715053286
1112	12-13	0.22177621011179838
1112	14-15	0.17279947145438257
1112	16-17	0.3631381339795894
1112	18-19	0.37883895250816835
1112	20-21	0.3482994150737966
1112	22-23	0.3308132942451678
1112	24-25	0.3242631025562517
1112	26-27	0.33957068373876353
1112	28-29	0.21601924495177371
1112	30-31	0.15124604197558966
1112	32-33	0.41473206123706774
1112	34-35	0.31345483040492894
1112	36-37	0.17555633361232026
1112	38-39	0.2891107943220348
1112	40-41	0.20244852056400475
1112	42-43	0.3830103173072459
1112	44-45	0.3672069013101904
1112	46-47	0.2756210016341498
1112	48-49	0.4183675729517944
1112	50-51	0.3673682665732798
1112	52-53	0.22507710802622682
1112	54-55	0.48453329039012516
1112	56-57	0.24175091681583893
1112	58-59	0.4229813868383232
1112	60-61	0.45546963816250496
1112	62-63	0.26702330361381144
1112	64-65	0.32328152701118285
1112	66-67	0.44216567211652347
1112	68-69	0.34897524771622557
1112	70-71	0.2638378305914557
1112	72-73	0.3425584490679441
1112	74-75	0.302455374901605
1112	76-77	0.4041814468864544
1112	78-79	0.48529543386694485
1112	80-81	0.35153304581794487
1112	82-83	0.36331614994571737
1112	84-85	0.36645230457629197
1112	86-87	0.45340726307791357
1112	88-89	0.2682356091980367
1112	90-91	0.11576661711156788
1112	92-93	0.20045664850724165
1112	94-95	0.21806514086349438
1112	96-97	0.20121911865781072
1112	98-99	0.37275339400296303
1112	100-101	0.0934772876498684
1113	1	0.05972616189755797
1113	2	0.10577504752060918
1113	3	0.3800163778796417
1113	4	0.19907667100971338
1113	5	0.02958494690768987
1113	6	0.13886898450549978
1113	7	0.3159754795681664
1113	8	0.25678449146130333
1113	9	0.2482681578527064
1113	10-11	0.27521940614647633
1113	12-13	0.18340602649755766
1113	14-15	0.11235450572377204
1113	16-17	0.16026610664150098
1113	18-19	0.2267872854946944
1113	20-21	0.2989373588458619
1113	22-23	0.1317276151240918
1113	24-25	0.22228263183404096
1113	26-27	0.26546090958283486
1113	28-29	0.21834003031683125
1113	30-31	0.17946163023318462
1113	32-33	0.3430724194324455
